"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","37038739680","3556934400","3291525","85481","4945424","70477","6768","10.41",""
"2","","VALORANT","59292102840","2398618140","1196352","9350","1587006","112821","4564","24.72",""
"3","","Just Chatting","186057846660","2176264920","1183419","8310","2319716","354031","4141","85.49",""
"4","","Apex Legends","24006475140","1785652140","463109","9226","1352623","45679","3397","13.44",""
"5","","Call of Duty: Modern Warfare II","8162663700","1668677760","350693","11884","1852430","15531","3175","4.89",""
"6","","League of Legends","79363308780","1537277100","2597522","6356","938141","151012","2925","51.63",""
"7","","Grand Theft Auto V","80078621460","1470086040","528554","5377","1480243","152373","2797","54.47",""
"8","","Minecraft","34985404800","1168457700","1702513","4833","2074431","66570","2223","29.94",""
"9","","Call of Duty: Warzone","18024898140","965093880","292484","8063","888334","34297","1836","18.68",""
"10","","Overwatch","14165847720","841589580","248662","4546","930091","26954","1601","16.83",""
"11","","Dead by Daylight","12257205960","828122820","102418","3997","559201","23323","1575","14.8",""
"12","","Counter-Strike","41175237300","697160220","1117445","4016","864073","78348","1326","59.06",""
"13","","World of Warcraft","26225520240","667025280","579740","6405","246361","49902","1269","39.32",""
"14","","Genshin Impact","7178633640","623603640","354726","7442","412403","13659","1186","11.51",""
"15","","Rainbow Six Siege","7805097600","601323660","216741","2879","1016027","14851","1144","12.98",""
"16","","Music","10550130960","593889420","147590","6679","252672","20074","1130","17.76",""
"17","","Dota 2","33050363640","502540620","1105363","2133","259924","62888","956","65.77",""
"18","","Rocket League","6540644100","501032640","408512","2234","1156993","12445","953","13.05",""
"19","","Escape from Tarkov","19538971860","428520780","563955","4787","167313","37178","815","45.6",""
"20","","Diablo IV","14920712820","396444840","954905","21450","359231","28391","754","37.64",""
"21","","Destiny 2","5022889740","393700980","517758","15527","328271","9557","749","12.76",""
"22","","FIFA 23","10853424060","386778900","486778","4722","819070","20651","735","28.06",""
"23","","ROBLOX","2450765100","384834420","133189","2841","1404348","4663","732","6.37",""
"24","","Art","5616273960","335063100","99665","1355","221557","10686","637","16.76",""
"25","","Hogwarts Legacy","5182034520","325811520","1249796","29306","531220","9860","619","15.91",""
"26","","NBA 2K23","1577752740","316498980","98061","2156","464276","3002","602","4.99",""
"27","","PUBG: BATTLEGROUNDS","5954869140","315477240","187245","1198","249028","11330","600","18.88",""
"28","","Honkai: Star Rail","3670223640","293309760","278005","19159","265502","6983","558","12.51",""
"29","","Call of Duty: Modern Warfare III","4132358280","263628480","447866","16940","374055","7863","501","15.67",""
"30","","Call of Duty","369600900","250485180","102858","5882","435409","703","476","1.48",""
"31","","ELDEN RING","4575496800","244795560","126207","1436","354123","8706","465","18.69",""
"32","","FINAL FANTASY XIV ONLINE","3140008680","231747060","150869","2947","96826","5974","440","13.55",""
"33","","Games + Demos","1938270180","227793000","168193","1064","680933","3688","433","8.51",""
"34","","Rust","12919019700","206830680","566990","1218","207406","24582","393","62.46",""
"35","","Baldur's Gate 3","4288448940","197017080","480983","5192","192386","8160","374","21.77",""
"36","","Red Dead Redemption II","2393865060","195822240","62805","888","314242","4555","372","12.22",""
"37","","NBA 2K24","1539043860","195623580","195102","8328","236399","2928","372","7.87",""
"38","","Madden NFL 23","695739480","187976400","40929","1949","303233","1323","357","3.7",""
"39","","Resident Evil 4","3661782600","187886100","327946","12902","278642","6967","357","19.49",""
"40","","EA Sports FC 24","8408011140","187773240","384755","6283","356890","15998","357","44.78",""
"41","","Teamfight Tactics","15442686060","184509000","139118","1324","199066","29384","351","83.7",""
"42","","Madden NFL 24","928673640","166115160","107012","3195","221305","1767","316","5.59",""
"43","","Phasmophobia","1924424160","160523220","53971","2343","335227","3661","305","11.99",""
"44","","DayZ","4037100660","156915240","84959","648","163242","7681","298","25.73",""
"45","","Sea of Thieves","2871536280","152095320","69226","1269","227102","5463","289","18.88",""
"46","","The Legend of Zelda: Tears of the Kingdom","3284349360","151027200","352288","9231","101075","6249","287","21.75",""
"47","","Lost Ark","7611780000","144379020","325702","1058","45380","14483","274","52.72",""
"48","","Hunt: Showdown 1896","2810364420","138726660","84200","977","79988","5347","263","20.26",""
"49","","ARK: Survival Evolved","2716277820","129521100","220016","618","177640","5168","246","20.97",""
"50","","Starfield","2385736680","125885760","552031","10066","194384","4539","239","18.95",""
