"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/8dcaf96d-68ee-4fc6-bfdc-fdfc564e134a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LVNDMARK","1933381650","177495","114077","10892","1472618","147043","Partner","false","English","https://www.twitch.tv/lvndmark"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/c754eebf-745b-4e0a-814a-10bcaecaabbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","1926041670","154215","96765","12489","11310224","192391","Partner","false","English","https://www.twitch.tv/shroud"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/a58575dc-6414-45f7-a2da-a1ea2bed2e1f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","otplol_","1911098655","511575","126084","3735","797180","13746","Partner","false","French","https://www.twitch.tv/otplol_"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/8a9c0603-7ff0-4189-bdc1-3072029a613d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","StRoGo","1880058495","101910","146754","18448","1926594","550890","Partner","false","Russian","https://www.twitch.tv/strogo"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/436a50ca-f8e9-4cc0-aae8-def977448ac7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","zarbex","1787741535","122970","58722","14538","1273306","383551","Partner","false","German","https://www.twitch.tv/zarbex"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/9e619d88755f56a8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NoWay4u_Sir","1787608815","166530","34653","10734","777453","42968","Partner","false","German","https://www.twitch.tv/noway4u_sir"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","1727265840","75720","206194","22811","16355810","668215","Partner","false","Spanish","https://www.twitch.tv/rubius"
"29","https://static-cdn.jtvnw.net/jtv_user_pictures/d5a4b94c-5f59-4136-9e00-3311b06fdc63-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","BLASTPremier","1713264975","132810","274849","12900","2339131","249568","Partner","false","English","https://www.twitch.tv/blastpremier"
"30","https://static-cdn.jtvnw.net/jtv_user_pictures/22a56845-20d0-4e14-932e-0ec099b088eb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Trymacs","1673068995","149145","155337","11217","3899228","149894","Partner","false","German","https://www.twitch.tv/trymacs"
"31","https://static-cdn.jtvnw.net/jtv_user_pictures/76689ba7-8a3a-4369-bb9b-6ec7c54e4648-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Tumblurr","1618461030","60525","192400","26740","1995300","118170","Partner","false","Italian","https://www.twitch.tv/tumblurr"
"32","https://static-cdn.jtvnw.net/jtv_user_pictures/ea0fe422-84bd-4aee-9d10-fd4b0b3a7054-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gaules","1603014000","522285","97006","3069","4327988","56004","Partner","true","Portuguese","https://www.twitch.tv/gaules"
"33","https://static-cdn.jtvnw.net/jtv_user_pictures/70c63d12-ecae-485c-9bca-3d3f3ad5782a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","yourragegaming","1576359900","108495","264495","14529","2093181","448165","Partner","false","English","https://www.twitch.tv/yourragegaming"
"34","https://static-cdn.jtvnw.net/jtv_user_pictures/09f74aa6-9df9-4d37-a686-7ee5ed29bca8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ramzes","1575248850","77775","88423","20253","637758","141228","Partner","false","Russian","https://www.twitch.tv/ramzes"
"35","https://static-cdn.jtvnw.net/jtv_user_pictures/c1ecbcd5-b8b6-4e0c-9d5f-e01d610aa97d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ESLCS","1573123605","477630","198900","3293","6670471","196194","Partner","false","English","https://www.twitch.tv/eslcs"
"36","https://static-cdn.jtvnw.net/jtv_user_pictures/17ef7a09-3473-4ff8-85ca-e6648d392116-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Anyme023","1568451720","55725","150376","28146","2411697","1890021","Partner","false","French","https://www.twitch.tv/anyme023"
"37","https://static-cdn.jtvnw.net/jtv_user_pictures/38e925fc-0b07-4e1e-82e2-6639e01344f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LIRIK","1560212970","120690","34248","12927","2996240","13821","Partner","false","English","https://www.twitch.tv/lirik"
"38","https://static-cdn.jtvnw.net/jtv_user_pictures/01d55c0b-9cfc-4a3d-a622-1bc2b3300f5e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DDG","1542679440","110565","205741","13952","2170801","1283669","Partner","false","English","https://www.twitch.tv/ddg"
"39","https://static-cdn.jtvnw.net/jtv_user_pictures/c9f74581-c0e8-4638-8629-51dbfe401335-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Emiru","1510833180","80910","60629","18673","2076641","323961","Partner","false","English","https://www.twitch.tv/emiru"
"40","https://static-cdn.jtvnw.net/jtv_user_pictures/aa2bc80a-e317-494a-a94d-7492889e4f66-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","JLTomy","1503849405","134475","48634","11183","1392049","63847","Partner","false","French","https://www.twitch.tv/jltomy"
"41","https://static-cdn.jtvnw.net/jtv_user_pictures/794e906d-64d7-41ab-bb89-8fb159e4124b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","k4sen","1469322570","106875","128089","13748","1010551","83188","Partner","false","Japanese","https://www.twitch.tv/k4sen"
"42","https://static-cdn.jtvnw.net/jtv_user_pictures/55a5e785-9c08-47f5-bcff-895224deb51f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shadowkekw","1415922015","37605","419963","37652","1281887","467746","Partner","false","Russian","https://www.twitch.tv/shadowkekw"
"43","https://static-cdn.jtvnw.net/jtv_user_pictures/d76bc428-c322-479c-962b-b8a4e1e88ef8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","HandOfBlood","1397031870","106170","70216","13158","1620358","278807","Partner","false","German","https://www.twitch.tv/handofblood"
"44","https://static-cdn.jtvnw.net/jtv_user_pictures/57dafab4-67fd-4a8f-9f04-81b1412925ae-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","anarabdullaev","1396496310","61140","104080","22840","1256904","1080396","Community","false","Russian","https://www.twitch.tv/anarabdullaev"
