"","Logo","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Status","Mature","Language","URL"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/e5ae36e5-f887-4601-9481-8863cc387a59-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","x9nium","22134465","11865","5343","1866","48246","Partner","false","Spanish","https://www.twitch.tv/x9nium"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/afd9b1c2-dcd3-46a2-8ff0-2dce9fdfee9e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","OfficialHyper","20056845","7305","7224","2746","143406","Partner","false","Polish","https://www.twitch.tv/officialhyper"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/464806d7-2c46-4064-ac2a-d28cb8e7e928-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TrilluXe","20006565","10395","5630","1925","517796","Partner","false","German","https://www.twitch.tv/trilluxe"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/15dbe470-e5a2-493f-b5ac-3ed059307aa2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","s_chilla","17395635","10245","5895","1698","83851","Partner","false","Russian","https://www.twitch.tv/s_chilla"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/6550938c-13b9-4cb8-80ff-ba257cb1cfc0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Michel","16815540","31800","6012","529","682231","Partner","false","Portuguese","https://www.twitch.tv/michel"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/8e9ae092-d343-4f47-a65a-26ce3d2da6ab-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Recrent","15926460","2880","10853","5530","1960596","Partner","false","Russian","https://www.twitch.tv/recrent"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/07580fe8-4509-4cbd-84b6-31732234e98c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","iiTzTimmy","15166605","2505","9558","6055","2917379","Partner","false","English","https://www.twitch.tv/iitztimmy"
"29","https://static-cdn.jtvnw.net/jtv_user_pictures/595df469-4703-44cf-9f8c-90bb827cf354-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ct0m","14897310","2775","28363","5368","527908","Community","false","Russian","https://www.twitch.tv/ct0m"
"30","https://static-cdn.jtvnw.net/jtv_user_pictures/c1372b44-c4c9-451d-867e-377b0d227756-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","sasavot","14645745","1170","21605","12518","1800929","Partner","false","Russian","https://www.twitch.tv/sasavot"
"31","https://static-cdn.jtvnw.net/jtv_user_pictures/f86c03ca-31df-4235-b722-c78badf54003-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","bratishkinoff","14142480","1620","13796","8730","3740247","Partner","false","Russian","https://www.twitch.tv/bratishkinoff"
"32","https://static-cdn.jtvnw.net/jtv_user_pictures/9e59683b-f151-4d10-ba2f-692acf54cda4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","zonixxcs","14110230","9540","4944","1479","145610","Partner","false","German","https://www.twitch.tv/zonixxcs"
"33","https://static-cdn.jtvnw.net/jtv_user_pictures/0f9a1903-99b7-4ab0-a079-da16e983460f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","HappyChucky","13524210","7620","2924","1775","46100","Community","false","Russian","https://www.twitch.tv/happychucky"
"34","https://static-cdn.jtvnw.net/jtv_user_pictures/07f26a7e-b5bf-451d-9ad4-c0dbf6a76bb7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","hypetried","13493385","5670","3900","2380","219816","Community","false","Russian","https://www.twitch.tv/hypetried"
"35","https://static-cdn.jtvnw.net/jtv_user_pictures/615a1419-8e81-4cb1-8962-ad793e64d926-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ArrowCS","13477665","6645","3520","2028","236309","Partner","false","English","https://www.twitch.tv/arrowcs"
"36","https://static-cdn.jtvnw.net/jtv_user_pictures/12bd6ef3-4f7c-41fc-83d1-af186866b24d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","redcs","13387785","10380","4136","1290","37577","Partner","false","German","https://www.twitch.tv/redcs"
"37","https://static-cdn.jtvnw.net/jtv_user_pictures/6c5e7a4a-9c98-4d1d-a37c-ce47f6895e38-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","keliencs","13107090","17040","3042","769","87262","Community","false","Russian","https://www.twitch.tv/keliencs"
"38","https://static-cdn.jtvnw.net/jtv_user_pictures/c157ed0d-1623-444f-8879-77ae4555684a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Peereira7","12814230","2160","12754","5933","1545950","Partner","false","Spanish","https://www.twitch.tv/peereira7"
"39","https://static-cdn.jtvnw.net/jtv_user_pictures/ea0fe422-84bd-4aee-9d10-fd4b0b3a7054-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gaules","12692505","23355","2914","543","4323153","Partner","false","Portuguese","https://www.twitch.tv/gaules"
"40","https://static-cdn.jtvnw.net/jtv_user_pictures/ee758ed1-ad87-4f4e-a314-c8353d6bd11e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Mauisnake","11907585","9015","2881","1321","28230","Partner","false","English","https://www.twitch.tv/mauisnake"
"41","https://static-cdn.jtvnw.net/jtv_user_pictures/80c8d6af-1124-4658-9a67-887cdaa06fd6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","cs2_paragon_ru3","11483490","5640","9094","2036","31741","Community","false","Russian","https://www.twitch.tv/cs2_paragon_ru3"
"42","https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Caedrel","11071650","345","62336","32092","1582613","Partner","false","English","https://www.twitch.tv/caedrel"
"43","https://static-cdn.jtvnw.net/jtv_user_pictures/8d8eba69-f181-4160-aa24-ebba4c0835ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","cs2_maincast2","10706355","5385","11045","1988","76638","Partner","false","Ukrainian","https://www.twitch.tv/cs2_maincast2"
"44","https://static-cdn.jtvnw.net/jtv_user_pictures/3d7a4291-44ba-433e-b645-18930860a16c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MegaRush51","10642215","4920","3580","2163","271635","Partner","false","Russian","https://www.twitch.tv/megarush51"
"45","https://static-cdn.jtvnw.net/jtv_user_pictures/5a74ee2b-fdc4-4e18-b571-9118ca5ecbff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","bysTaXx","10387140","4905","3941","2118","2253516","Partner","false","Spanish","https://www.twitch.tv/bystaxx"
"46","https://static-cdn.jtvnw.net/jtv_user_pictures/300d7a0e-7e65-41b3-ace1-9a39693da4d4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","gwizdakk","10295520","16710","1808","616","25034","Partner","false","Polish","https://www.twitch.tv/gwizdakk"
"47","https://static-cdn.jtvnw.net/jtv_user_pictures/970a893b-6c99-4688-8a99-56873f64c818-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","sweetcampercs","10126320","4065","9988","2491","338983","Partner","false","Chinese","https://www.twitch.tv/sweetcampercs"
"48","https://static-cdn.jtvnw.net/jtv_user_pictures/3fa04df6-17bd-4cf7-b121-905860e6ad4e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23FPSTV","9556950","9165","3580","1043","11286","Partner","false","Vietnamese","https://www.twitch.tv/23fpstv"
"49","https://static-cdn.jtvnw.net/jtv_user_pictures/f1095b5e-f58f-409c-a358-10c0bf71290c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","HeatoNcs","9436845","8625","1948","1094","144337","Partner","false","English","https://www.twitch.tv/heatoncs"
"50","https://static-cdn.jtvnw.net/jtv_user_pictures/f5d2d31f-bff1-49a8-b2f4-da7877975b75-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","szelioficjalnie","9111855","7950","1945","1146","221305","Partner","false","Polish","https://www.twitch.tv/szelioficjalnie"
