"","Logo","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Status","Mature","Language","URL"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/76a04703-a534-4fac-af66-decca8688192-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Rekkles","31823250","10365","6012","3070","1254993","Partner","false","English","https://www.twitch.tv/rekkles"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","30062280","1650","45680","18220","19854567","Partner","false","Spanish","https://www.twitch.tv/ibai"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/alfrea-profile_image-33f66c56a9cfd86e-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","alfrea","28688760","7005","10557","4095","280910","Partner","false","Japanese","https://www.twitch.tv/alfrea"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/3c3396bb-67d9-480c-95e5-2970a1f2aed4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LCS","27487380","2250","30851","12217","1967330","Partner","false","English","https://www.twitch.tv/lcs"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/9a09edc8-cf49-4168-ae93-0fca9fef188e-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","NeVeR_LosEs","27001590","6780","17095","3983","324416","Partner","false","Chinese","https://www.twitch.tv/never_loses"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/8c1c636f-0ad4-43df-ba29-16287570579d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Zerost_s","26895420","4290","16244","6269","194348","Partner","false","Japanese","https://www.twitch.tv/zerost_s"
"29","https://static-cdn.jtvnw.net/jtv_user_pictures/6ac8f214-a7f3-461f-8181-ce0c25fa4f04-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jankos","24925935","12420","4673","2007","1339386","Partner","false","English","https://www.twitch.tv/jankos"
"30","https://static-cdn.jtvnw.net/jtv_user_pictures/3ca65c72-26bc-4fcb-878d-cc29d2f45bfe-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","agurin","24802215","19905","4045","1246","510146","Partner","false","English","https://www.twitch.tv/agurin"
"31","https://static-cdn.jtvnw.net/jtv_user_pictures/2b1b9e13-5b9f-41ee-b375-54d3c6491bb2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Sardoche","24164565","9555","5071","2529","1199941","Partner","false","French","https://www.twitch.tv/sardoche"
"32","https://static-cdn.jtvnw.net/jtv_user_pictures/0cf3cdaa-7e5a-48c3-8216-9c28c698bb13-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","solarbacca","24004530","15285","2693","1570","340253","Partner","false","English","https://www.twitch.tv/solarbacca"
"33","https://static-cdn.jtvnw.net/jtv_user_pictures/bd4bc99e-ffd6-43b3-bbb3-9bb582104b30-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","yutapongo","23720145","8070","6376","2939","61026","Partner","false","Japanese","https://www.twitch.tv/yutapongo"
"34","https://static-cdn.jtvnw.net/jtv_user_pictures/f01671f9-b022-42eb-9be1-9756a9e17bb8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Nissaxter","23687520","7155","6430","3311","857452","Partner","false","Spanish","https://www.twitch.tv/nissaxter"
"35","https://static-cdn.jtvnw.net/jtv_user_pictures/c75c0984-96f2-4e8f-8e21-95f7cc65fcbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LCK_Carry","23639955","2145","30689","11021","112026","Community","false","Chinese","https://www.twitch.tv/lck_carry"
"36","https://static-cdn.jtvnw.net/jtv_user_pictures/9b1c0065-fd51-4752-b748-c8c175e779ba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","takayaspecial","21621120","8160","6567","2650","99261","Partner","false","Japanese","https://www.twitch.tv/takayaspecial"
"37","https://static-cdn.jtvnw.net/jtv_user_pictures/10662d89-629a-40f5-887e-0e72928d4c1f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","guanweiboy","21071670","8925","7639","2361","150286","Partner","false","Chinese","https://www.twitch.tv/guanweiboy"
"38","https://static-cdn.jtvnw.net/jtv_user_pictures/73132e60-8583-4cfd-b3e9-d9b433bbeaa3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Pobelter","20788365","8265","6540","2515","535738","Partner","false","English","https://www.twitch.tv/pobelter"
"39","https://static-cdn.jtvnw.net/jtv_user_pictures/098fbcac-6f24-4fb5-9d07-63b1451ab192-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Hiro_lLoL","20578755","13155","3413","1564","69763","Partner","false","French","https://www.twitch.tv/hiro_llol"
"40","https://static-cdn.jtvnw.net/jtv_user_pictures/b4a22a54-04b8-43ec-820c-ba30b490fa7d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Ricadam_lol","20502210","11745","5254","1746","188399","Partner","false","French","https://www.twitch.tv/ricadam_lol"
"41","https://static-cdn.jtvnw.net/jtv_user_pictures/05396d4d-7af0-4b9b-8c7e-c03563b4d448-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Baiano","20117625","19710","6758","1021","1064231","Partner","false","Portuguese","https://www.twitch.tv/baiano"
"42","https://static-cdn.jtvnw.net/jtv_user_pictures/7714d5ab-dd68-4264-b155-09e6455a8e38-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","syaruru3","19547250","10110","6760","1933","144217","Partner","false","Japanese","https://www.twitch.tv/syaruru3"
"43","https://static-cdn.jtvnw.net/jtv_user_pictures/b550290b-26c0-410d-8f37-4a646ddd71be-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","karsalol","19267335","5460","9133","3529","104678","Partner","false","Chinese","https://www.twitch.tv/karsalol"
"44","https://static-cdn.jtvnw.net/jtv_user_pictures/3fdbd625-7019-46d8-8ba7-c6b0812b3484-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","humzh","18894420","10200","3642","1852","273526","Partner","false","English","https://www.twitch.tv/humzh"
"45","https://static-cdn.jtvnw.net/jtv_user_pictures/0ffd02cf-e6fb-4687-94a0-7f0e163c6ae9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RaiderGO","18582615","15555","2485","1195","71452","Partner","false","English","https://www.twitch.tv/raidergo"
"46","https://static-cdn.jtvnw.net/jtv_user_pictures/b470b382-2bd7-489f-9755-1af47d0b0f6f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LEC","18130185","1500","29382","12087","2109683","Partner","false","English","https://www.twitch.tv/lec"
"47","https://static-cdn.jtvnw.net/jtv_user_pictures/457abaa2-37eb-49b3-a8b5-aafb2f91ecfc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","yukiofps14","17724240","7515","7247","2359","252547","Partner","false","Japanese","https://www.twitch.tv/yukiofps14"
"48","https://static-cdn.jtvnw.net/jtv_user_pictures/de96f4e0-5944-464c-8c9a-0669274634b2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","lolthek4sen","17397075","2310","17971","7531","41910","Partner","false","Japanese","https://www.twitch.tv/lolthek4sen"
"49","https://static-cdn.jtvnw.net/jtv_user_pictures/c3d9937a-b69b-4a33-8e22-60c904ac1aa4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RandomBruceTV","16824360","12270","2849","1371","247038","Partner","false","Polish","https://www.twitch.tv/randombrucetv"
"50","https://static-cdn.jtvnw.net/jtv_user_pictures/896a3065-57d7-4373-9972-6d31d641f613-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NattyNattLoL","16465230","10470","3253","1573","197941","Partner","false","English","https://www.twitch.tv/nattynattlol"
