"","Logo","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Status","Mature","Language","URL"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/1aeb7747-c643-4d90-b47d-1480a3b37dbe-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","CoachBoop","13375395","8580","4795","1559","241023","Partner","false","English","https://www.twitch.tv/coachboop"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/6d9f1e02-54a6-409a-ad7f-e9775cc724dc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","leothecrack","11692350","9525","11139","1228","166698","Partner","false","French","https://www.twitch.tv/leothecrack"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/d378b8b2-d06f-46df-a4e5-15e46c60e0b5-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","Mongraal","11653455","4995","20926","2333","7199108","Partner","false","English","https://www.twitch.tv/mongraal"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/fd3cce85-be6e-4aad-8664-8609607e9314-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","katoo","10700190","10125","2352","1057","673961","Partner","false","German","https://www.twitch.tv/katoo"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/6e3a3748-d7c3-4135-890e-cb804cdc7d29-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","buckefps","10262925","7440","3052","1379","924729","Partner","false","English","https://www.twitch.tv/buckefps"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/802572df-0741-4154-bc69-adbc6884c0ac-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TypicalGamer","9249060","6855","7542","1349","1088902","Partner","false","English","https://www.twitch.tv/typicalgamer"
"29","https://static-cdn.jtvnw.net/jtv_user_pictures/c3a2d34f-a063-45f1-b857-c33788527c83-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NickEh30","9182730","5055","14770","1817","5797241","Partner","false","English","https://www.twitch.tv/nickeh30"
"30","https://static-cdn.jtvnw.net/jtv_user_pictures/e321a91b-9de7-47a7-83d8-e61935e9f583-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Thiefs","8992035","12600","2263","714","621678","Partner","false","English","https://www.twitch.tv/thiefs"
"31","https://static-cdn.jtvnw.net/jtv_user_pictures/333e210b-9f29-43d1-8480-0777d29abae2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gripey","8600430","9150","2857","940","167601","Partner","false","German","https://www.twitch.tv/gripey"
"32","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","8222280","375","30104","21926","16440385","Partner","false","Spanish","https://www.twitch.tv/rubius"
"33","https://static-cdn.jtvnw.net/jtv_user_pictures/0c03212e-305d-4a1b-8c0a-688190002452-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","suetam1v4","7737825","1965","7708","3938","1012030","Partner","false","Portuguese","https://www.twitch.tv/suetam1v4"
"34","https://static-cdn.jtvnw.net/jtv_user_pictures/f3930471-86f3-422d-91d4-30c23c1bd6c0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TooseFN","7457055","4260","2552","1750","821956","Partner","false","Russian","https://www.twitch.tv/toosefn"
"35","https://static-cdn.jtvnw.net/jtv_user_pictures/cb54be89-6bb7-4a7b-9682-d628042264d1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","At0m","7180710","4080","5252","1760","95957","Partner","false","Russian","https://www.twitch.tv/at0m"
"36","https://static-cdn.jtvnw.net/jtv_user_pictures/9b662d12-0b45-40db-8056-51e892d09b7e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SUJA","7017825","7410","8479","947","1304203","Partner","false","Spanish","https://www.twitch.tv/suja"
"37","https://static-cdn.jtvnw.net/jtv_user_pictures/41263278-9819-4b00-ba22-1a8e86ec656c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Peterbot247Official","7012245","41220","3842","170","505593","Partner","false","English","https://www.twitch.tv/peterbot247official"
"38","https://static-cdn.jtvnw.net/jtv_user_pictures/3a132901-63e4-467d-ad1e-0844491eb661-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","pizfn","6956760","7020","3983","991","828736","Partner","false","Italian","https://www.twitch.tv/pizfn"
"39","https://static-cdn.jtvnw.net/jtv_user_pictures/81629c34-b51b-4978-8a42-0026e12bde87-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","WaZz","6830565","4845","5958","1410","379531","Partner","false","French","https://www.twitch.tv/wazz"
"40","https://static-cdn.jtvnw.net/jtv_user_pictures/75260307-584a-4eb7-99ba-d2708d27795e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SypherPK","6520995","4770","8261","1367","7228305","Partner","false","English","https://www.twitch.tv/sypherpk"
