"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","38089981860","4021742880","966022","60246","5108635","72279","7631","9.47",""
"2","","Just Chatting","183152269920","2234233440","2201336","17915","2222912","347550","4239","81.98",""
"3","","VALORANT","52200116280","2145002280","1420514","15066","1602824","99055","4070","24.34",""
"4","","Call of Duty: Warzone","20523436140","1811152320","247464","11190","1673094","38945","3436","11.33",""
"5","","Grand Theft Auto V","86367628860","1494679620","1083441","13835","1301119","163891","2836","57.78",""
"6","","League of Legends","75762751200","1275197700","2615257","10243","765899","143767","2419","59.41",""
"7","","Apex Legends","17797489260","1275066180","341684","9468","904540","33772","2419","13.96",""
"8","","Call of Duty","1838408160","1254448560","22320","7681","1348951","3488","2380","1.47",""
"9","","Minecraft","24777377340","1111506480","981251","9069","1967535","47017","2109","22.29",""
"10","","Dead by Daylight","12541423320","856735380","141864","6423","529745","23798","1625","14.64",""
"11","","Rainbow Six Siege","11918593680","838678500","473907","6703","1216394","22616","1591","14.21",""
"12","","Overwatch","13696178940","732274380","140380","4911","712153","25989","1389","18.7",""
"13","","Counter-Strike","40150441920","640270080","1548040","6052","701003","76189","1214","62.71",""
"14","","ELDEN RING","14276067360","613746600","650280","15112","658752","27090","1164","23.26",""
"15","","Dota 2","32522291820","569842020","1528106","4584","293674","61714","1081","57.07",""
"16","","ROBLOX","3171764820","547764360","166344","2975","1779200","6018","1039","5.79",""
"17","","World of Warcraft","22751251680","543522240","405986","6891","207859","43172","1031","41.86",""
"18","","Genshin Impact","4487503080","420889620","215097","6158","304346","8515","798","10.66",""
"19","","Call of Duty: Modern Warfare III","4169590980","409066080","114558","4396","331662","7912","776","10.19",""
"20","","Rocket League","5070379920","401155620","382874","3277","914329","9621","761","12.64",""
"21","","EA Sports FC 24","10412335140","399040860","595991","4718","787609","19758","757","26.09",""
"22","","Escape from Tarkov","15462316020","378584100","393116","3746","142360","29341","718","40.84",""
"23","","Music","7847372820","378163440","192328","3700","209737","14891","717","20.75",""
"24","","Call of Duty: Black Ops 6","6406292940","373250100","483189","14903","431209","12156","708","17.16",""
"25","","PUBG: BATTLEGROUNDS","6720498180","337107300","181086","2712","275794","12752","639","19.94",""
"26","","NBA 2K24","1640610180","328018080","167107","3272","408260","3113","622","5",""
"27","","Art","5283052260","322502400","46229","2090","199331","10025","611","16.38",""
"28","","Destiny 2","4924708200","302632320","485292","13376","244574","9345","574","16.27",""
"29","","Games + Demos","2752876440","271516080","94540","2133","693767","5223","515","10.14",""
"30","","FINAL FANTASY XIV ONLINE","4268929800","255952620","136367","4304","104498","8100","485","16.68",""
"31","","Palworld","5035228560","246895500","434200","11031","353225","9554","468","20.39",""
"32","","Madden NFL 24","981093300","224550720","223439","2960","405070","1861","426","4.37",""
"33","","EA Sports College Football 25","1080915420","223157820","194953","11766","376880","2051","423","4.84",""
"34","","HELLDIVERS 2","2965955640","222103020","175385","7365","380468","5628","421","13.35",""
"35","","NBA 2K25","1588727520","212902620","199141","7932","259922","3014","404","7.46",""
"36","","Red Dead Redemption II","2621800680","209285760","137624","1612","341937","4975","397","12.53",""
"37","","Rust","12083606520","185129880","430910","1536","182688","22929","351","65.27",""
"38","","Baldur's Gate 3","1789717260","170144100","96748","1601","182366","3396","322","10.52",""
"39","","Sea of Thieves","2440910340","158290920","102083","1530","239910","4631","300","15.42",""
"40","","Phasmophobia","1556463000","157605120","170397","3078","347792","2953","299","9.88",""
"41","","Lethal Company","2537444520","157391700","101492","3816","384715","4815","298","16.12",""
"42","","DayZ","3859330080","155112000","84065","1290","153187","7323","294","24.88",""
"43","","Diablo IV","3298268580","152174640","200181","2871","165208","6258","288","21.67",""
"44","","Marvel Rivals","4092755520","152016480","279261","11523","395847","7766","288","26.92",""
"45","","EA Sports FC 25","6786434340","150493620","484632","5895","292876","12877","285","45.09",""
"46","","The First Descendant","1677862560","149626080","162123","6017","200002","3183","283","11.21",""
"47","","Teamfight Tactics","10069325700","140158980","158746","1097","148689","19107","265","71.84",""
"48","","Retro","3727620960","137454660","55237","1178","48163","7073","260","27.12",""
"49","","Animals, Aquariums, and Zoos","2813924220","133793760","22099","625","5977","5339","253","21.03",""
"50","","Talk Shows & Podcasts","3287715840","132542400","140246","656","54306","6238","251","24.81",""
