"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","62128191000","843449520","952308","2945","625380","117894","1600","73.66",""
"2","","Call of Duty: Black Ops III","7437882180","627301140","167067","4443","955226","14114","1190","11.86",""
"3","","Destiny","4602292320","507402300","234438","5970","369032","8733","962","9.07",""
"4","","Counter-Strike","31583515080","469414020","1059002","2197","572379","59933","890","67.28",""
"5","","Overwatch","10737520680","386604720","302141","9741","564462","20375","733","27.77",""
"6","","World of Warcraft","8971799100","289807080","227428","4567","206776","17024","549","30.96",""
"7","","Minecraft","5339306160","279940140","90527","1538","502316","10131","531","19.07",""
"8","","Grand Theft Auto V","2134246440","242877420","54948","1557","547927","4049","460","8.79",""
"9","","Dota 2","29795158140","231159060","623824","1100","188569","56539","438","128.89",""
"10","","Tom Clancy's The Division","3063241980","177774600","159832","5280","324682","5812","337","17.23",""
"11","","Rainbow Six Siege","1945812720","159182340","62002","929","278151","3692","302","12.22",""
"12","","Hearthstone","28441008960","141191940","331248","1220","196072","53969","267","201.44",""
"13","","Z1: Battle Royale","5272330980","130367100","84161","882","117639","10004","247","40.44",""
"14","","NBA 2K16","1595571360","122174880","33636","792","203557","3027","231","13.06",""
"15","","DARK SOULS III","2624932800","114291120","121710","3238","189903","4981","216","22.97",""
"16","","Creative","2852794920","112244040","69027","466","114631","5413","212","25.42",""
"17","","Rocket League","1353696180","99996240","82917","640","268504","2568","189","13.54",""
"18","","Fallout 4","589893960","97564560","144758","791","204389","1119","185","6.05",""
"19","","SMITE","1924637340","91828140","70542","467","131246","3652","174","20.96",""
"20","","World of Tanks","3458900520","85569120","146906","379","85965","6563","162","40.42",""
"21","","FIFA 16","1928338020","81324000","145728","756","198642","3659","154","23.71",""
"22","","Battlefield 4","397133520","65179380","482854","378","174297","753","123","6.09",""
"23","","Heroes of the Storm","2407909440","64264140","86526","362","72061","4569","121","37.47",""
"24","","Battlefield 1","1211870820","63966300","80858","1548","215838","2299","121","18.95",""
"25","","Arma 3","2607869340","63535560","55686","318","52917","4948","120","41.05",""
"26","","Madden NFL 16","306128700","58581780","18054","649","87592","580","111","5.23",""
"27","","Diablo III","1138567860","58281300","57383","2185","85916","2160","110","19.54",""
"28","","ARK: Survival Evolved","1025334180","58006140","51065","539","65661","1945","110","17.68",""
"29","","RuneScape","3670928880","53312760","85177","215","48329","6965","101","68.86",""
"30","","Dead by Daylight","3054563580","52980780","79013","548","52152","5796","100","57.65",""
"31","","Paragon","533032140","49405620","60465","595","59547","1011","93","10.79",""
"32","","Warframe","303801840","48805740","30385","239","91271","576","92","6.22",""
"33","","Halo 5: Guardians","854257680","48331980","93722","289","79443","1621","91","17.67",""
"34","","Madden NFL 17","260935500","47599860","19768","1258","67984","495","90","5.48",""
"35","","osu!","415043760","46999200","37612","192","65969","787","89","8.83",""
"36","","Path of Exile","1594612740","43476720","25344","764","31568","3025","82","36.68",""
"37","","NBA 2K17","631404960","41861280","42215","1778","90905","1198","79","15.08",""
"38","","Talk Shows & Podcasts","4911934800","41492220","321911","283","76952","9320","78","118.38",""
"39","","FINAL FANTASY XV","554726700","40603680","110368","3562","83775","1052","77","13.66",""
"40","","DayZ","1321788660","40595280","41315","280","36440","2508","77","32.56",""
"41","","Blade & Soul","805525020","40177020","67256","1099","43720","1528","76","20.05",""
"42","","The Elder Scrolls V: Skyrim","705786600","40105500","168538","1011","71404","1339","76","17.6",""
"43","","7 Days to Die","398397600","38974800","36862","950","65392","756","73","10.22",""
"44","","StarCraft II","3289762500","38100780","130773","178","29541","6242","72","86.34",""
"45","","Rust","1093966620","37346940","57838","255","48400","2075","70","29.29",""
"46","","The Witcher 3: Wild Hunt","425563800","36609300","41007","596","75135","807","69","11.62",""
"47","","FIFA 17","1719647520","35315400","78113","1142","86069","3263","67","48.69",""
"48","","Bloodborne","457156920","33574620","199060","257","72420","867","63","13.62",""
"49","","Black Desert","711384660","32977200","50609","744","30352","1349","62","21.57",""
"50","","Final Fantasy XIV: Heavensward","288659820","30314700","32264","310","32866","547","57","9.52",""
