"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","37248402060","2634680700","1024567","60854","4009545","70876","5013","14.14",""
"2","","VALORANT","69586121040","2588534580","1197406","13550","1837811","132408","4925","26.88",""
"3","","Apex Legends","39508657020","2387643180","559133","13296","1918841","75177","4543","16.55",""
"4","","Just Chatting","188346672480","2127292920","2309980","10463","3023620","358386","4047","88.54",""
"5","","League of Legends","93401976720","1677126840","3145012","8924","1099549","177725","3191","55.69",""
"6","","Call of Duty: Warzone","26298360600","1440771120","618010","12842","1071785","50040","2741","18.25",""
"7","","Grand Theft Auto V","84857222520","1432075440","727079","6992","1577887","161466","2724","59.25",""
"8","","Minecraft","32865211740","1190426940","2189881","6347","2324663","62536","2265","27.61",""
"9","","Dead by Daylight","15226435560","915346080","155860","4960","636528","28972","1741","16.63",""
"10","","Call of Duty: Modern Warfare","2176313220","908096340","51255","4147","1240890","4141","1727","2.4",""
"11","","ELDEN RING","17294172420","753587700","908307","22969","796342","32907","1433","22.95",""
"12","","World of Warcraft","24454305420","630931080","800359","12297","249437","46531","1200","38.76",""
"13","","Call of Duty: Modern Warfare II","6461490060","626381700","759147","22803","1004990","12294","1191","10.32",""
"14","","Counter-Strike","41987036940","593396340","1687805","2748","753916","79893","1129","70.76",""
"15","","Music","14064256260","568978920","228912","2644","390851","26761","1082","24.72",""
"16","","Genshin Impact","8431290300","568055760","614342","6499","516616","16043","1080","14.84",""
"17","","Escape from Tarkov","18334077900","485309400","690725","5313","201013","34886","923","37.78",""
"18","","Overwatch","14146285080","482026020","633993","12678","853366","26917","917","29.35",""
"19","","Rocket League","7782714420","455874120","348465","2322","928636","14808","867","17.07",""
"20","","Dota 2","31935192900","452403720","1037857","2353","238175","60766","860","70.59",""
"21","","Destiny 2","5583326640","424122600","451907","19199","353223","10623","807","13.16",""
"22","","Lost Ark","20449934880","409832100","1273854","12784","279979","38912","779","49.9",""
"23","","PUBG: BATTLEGROUNDS","7424414520","391171980","169794","1901","391392","14127","744","18.98",""
"24","","Art","6214263960","370254720","63932","2021","336514","11824","704","16.78",""
"25","","Rainbow Six Siege","6359795700","366073500","267799","2013","667079","12101","696","17.37",""
"26","","FIFA 22","12753131160","357336240","785790","5823","767177","24266","679","35.69",""
"27","","FINAL FANTASY XIV ONLINE","4418177160","301829760","94670","3455","127213","8406","574","14.64",""
"28","","ROBLOX","1918015980","290905620","135740","1263","1204632","3649","553","6.59",""
"29","","Fall Guys","7781104260","268430640","417781","6833","1030557","14805","510","28.99",""
"30","","Games + Demos","1846058220","265692120","101700","7386","1006034","3512","505","6.95",""
"31","","Overwatch","5212769640","252992160","1459249","2725","324662","9918","481","20.6",""
"32","","Call of Duty: Vanguard","1610470440","231161640","64799","1820","363793","3064","439","6.97",""
"33","","NBA 2K22","1802183400","211041600","260517","1412","330235","3429","401","8.54",""
"34","","Rust","16308322620","205518840","917741","1352","217350","31031","391","79.35",""
"35","","Phasmophobia","2514168000","191861640","97940","2606","428448","4783","365","13.1",""
"36","","Teamfight Tactics","14491290840","189074700","140778","1461","227959","27574","359","76.64",""
"37","","Sea of Thieves","3529157820","183452880","131802","1278","277541","6715","349","19.24",""
"38","","Red Dead Redemption II","3032544300","175831500","101851","890","287754","5770","334","17.25",""
"39","","ARK: Survival Evolved","3188234100","172248900","174919","1035","250620","6066","327","18.51",""
"40","","Call of Duty: Black Ops Cold War","685959960","168721080","132493","776","342670","1305","321","4.07",""
"41","","FIFA 23","8795209680","159021660","487770","5980","330616","16735","302","55.31",""
"42","","DayZ","4167103620","143390400","109745","636","148854","7929","272","29.06",""
"43","","NBA 2K23","1696490160","141417060","352152","7180","193378","3228","269","12",""
"44","","God of War Ragnarök","2655438780","125891820","480655","11583","169951","5052","239","21.09",""
"45","","Hunt: Showdown 1896","2017646820","124460280","74621","829","82232","3839","236","16.21",""
"46","","Talk Shows & Podcasts","3996229860","121579860","142296","653","127531","7604","231","32.87",""
"47","","Monster Hunter Rise","2089730520","119376720","112194","2788","93965","3976","227","17.51",""
"48","","Retro","3256869960","113648400","39288","668","50990","6197","216","28.66",""
"49","","Halo Infinite","1875028740","110556480","129916","2061","233130","3567","210","16.96",""
"50","","SMITE","3146511360","105640440","150372","627","97157","5987","201","29.79",""
