"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","188346672480","2127292920","2309980","10463","3023620","358386","4047","88.54",""
"2","","League of Legends","93401976720","1677126840","3145012","8924","1099549","177725","3191","55.69",""
"3","","Grand Theft Auto V","84857222520","1432075440","727079","6992","1577887","161466","2724","59.25",""
"4","","VALORANT","69586121040","2588534580","1197406","13550","1837811","132408","4925","26.88",""
"5","","Counter-Strike","41987036940","593396340","1687805","2748","753916","79893","1129","70.76",""
"6","","Apex Legends","39508657020","2387643180","559133","13296","1918841","75177","4543","16.55",""
"7","","Fortnite","37248402060","2634680700","1024567","60854","4009545","70876","5013","14.14",""
"8","","Minecraft","32865211740","1190426940","2189881","6347","2324663","62536","2265","27.61",""
"9","","Dota 2","31935192900","452403720","1037857","2353","238175","60766","860","70.59",""
"10","","Call of Duty: Warzone","26298360600","1440771120","618010","12842","1071785","50040","2741","18.25",""
"11","","World of Warcraft","24454305420","630931080","800359","12297","249437","46531","1200","38.76",""
"12","","Slots","23383780620","70318140","284606","429","41174","44494","133","332.54",""
"13","","Lost Ark","20449934880","409832100","1273854","12784","279979","38912","779","49.9",""
"14","","Escape from Tarkov","18334077900","485309400","690725","5313","201013","34886","923","37.78",""
"15","","ELDEN RING","17294172420","753587700","908307","22969","796342","32907","1433","22.95",""
"16","","Rust","16308322620","205518840","917741","1352","217350","31031","391","79.35",""
"17","","Dead by Daylight","15226435560","915346080","155860","4960","636528","28972","1741","16.63",""
"18","","Teamfight Tactics","14491290840","189074700","140778","1461","227959","27574","359","76.64",""
"19","","Overwatch","14146285080","482026020","633993","12678","853366","26917","917","29.35",""
"20","","Music","14064256260","568978920","228912","2644","390851","26761","1082","24.72",""
"21","","FIFA 22","12753131160","357336240","785790","5823","767177","24266","679","35.69",""
"22","","Hearthstone","12365730420","90369960","137028","687","79182","23529","171","136.83",""
"23","","Sports","11776665120","71333100","670136","908","179798","22408","135","165.09",""
"24","","Special Events","8928628200","35995200","3366021","8741","127320","16989","68","248.05",""
"25","","FIFA 23","8795209680","159021660","487770","5980","330616","16735","302","55.31",""
"26","","Genshin Impact","8431290300","568055760","614342","6499","516616","16043","1080","14.84",""
"27","","Rocket League","7782714420","455874120","348465","2322","928636","14808","867","17.07",""
"28","","Fall Guys","7781104260","268430640","417781","6833","1030557","14805","510","28.99",""
"29","","ASMR","7740292920","100218180","52844","366","117388","14728","190","77.23",""
"30","","PUBG: BATTLEGROUNDS","7424414520","391171980","169794","1901","391392","14127","744","18.98",""
"31","","Virtual Casino","6886695120","27714480","275327","192","19061","13104","52","248.49",""
"32","","Call of Duty: Modern Warfare II","6461490060","626381700","759147","22803","1004990","12294","1191","10.32",""
"33","","Rainbow Six Siege","6359795700","366073500","267799","2013","667079","12101","696","17.37",""
"34","","Art","6214263960","370254720","63932","2021","336514","11824","704","16.78",""
"35","","Path of Exile","5984705400","98838840","260801","2927","48695","11387","188","60.55",""
"36","","Destiny 2","5583326640","424122600","451907","19199","353223","10623","807","13.16",""
"37","","Overwatch","5212769640","252992160","1459249","2725","324662","9918","481","20.6",""
"38","","World of Tanks","5121039540","96840600","68851","635","74067","9744","184","52.88",""
"39","","FINAL FANTASY XIV ONLINE","4418177160","301829760","94670","3455","127213","8406","574","14.64",""
"40","","DayZ","4167103620","143390400","109745","636","148854","7929","272","29.06",""
"41","","Chess","4136080440","31788780","113009","172","47587","7870","60","130.11",""
"42","","Talk Shows & Podcasts","3996229860","121579860","142296","653","127531","7604","231","32.87",""
"43","","Pools, Hot Tubs, and Beaches","3861880260","34568460","93029","196","41652","7348","65","111.72",""
"44","","Old School RuneScape","3802626600","77737860","64684","594","39125","7235","147","48.92",""
"45","","I'm Only Sleeping","3695333040","73219380","61985","359","45639","7031","139","50.47",""
"46","","Poker","3544946280","48113220","71390","395","27230","6745","91","73.68",""
"47","","Sea of Thieves","3529157820","183452880","131802","1278","277541","6715","349","19.24",""
"48","","New World: Aeternum","3270712440","91539840","198821","2025","68360","6223","174","35.73",""
"49","","Retro","3256869960","113648400","39288","668","50990","6197","216","28.66",""
"50","","ARK: Survival Evolved","3188234100","172248900","174919","1035","250620","6066","327","18.51",""
