"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","183152269920","2234233440","2201336","17915","2222912","347550","4239","81.98",""
"2","","Grand Theft Auto V","86367628860","1494679620","1083441","13835","1301119","163891","2836","57.78",""
"3","","League of Legends","75762751200","1275197700","2615257","10243","765899","143767","2419","59.41",""
"4","","VALORANT","52200116280","2145002280","1420514","15066","1602824","99055","4070","24.34",""
"5","","Counter-Strike","40150441920","640270080","1548040","6052","701003","76189","1214","62.71",""
"6","","Fortnite","38089981860","4021742880","966022","60246","5108635","72279","7631","9.47",""
"7","","Dota 2","32522291820","569842020","1528106","4584","293674","61714","1081","57.07",""
"8","","Minecraft","24777377340","1111506480","981251","9069","1967535","47017","2109","22.29",""
"9","","World of Warcraft","22751251680","543522240","405986","6891","207859","43172","1031","41.86",""
"10","","Call of Duty: Warzone","20523436140","1811152320","247464","11190","1673094","38945","3436","11.33",""
"11","","Apex Legends","17797489260","1275066180","341684","9468","904540","33772","2419","13.96",""
"12","","Escape from Tarkov","15462316020","378584100","393116","3746","142360","29341","718","40.84",""
"13","","ELDEN RING","14276067360","613746600","650280","15112","658752","27090","1164","23.26",""
"14","","Overwatch","13696178940","732274380","140380","4911","712153","25989","1389","18.7",""
"15","","Special Events","12773398860","51914100","3915488","9241","68860","24238","98","246.05",""
"16","","Dead by Daylight","12541423320","856735380","141864","6423","529745","23798","1625","14.64",""
"17","","Rust","12083606520","185129880","430910","1536","182688","22929","351","65.27",""
"18","","Rainbow Six Siege","11918593680","838678500","473907","6703","1216394","22616","1591","14.21",""
"19","","Virtual Casino","11546699700","24335760","100631","189","13406","21911","46","474.47",""
"20","","EA Sports FC 24","10412335140","399040860","595991","4718","787609","19758","757","26.09",""
"21","","Teamfight Tactics","10069325700","140158980","158746","1097","148689","19107","265","71.84",""
"22","","Sports","9829579380","87318660","1223691","808","93240","18652","165","112.57",""
"23","","IRL","9632690940","114901800","330768","557","150157","18279","218","83.83",""
"24","","Street Fighter 6","8932823520","106930440","276394","1015","81053","16950","202","83.54",""
"25","","Hearthstone","8034870480","69871980","73615","514","53864","15247","132","114.99",""
"26","","Music","7847372820","378163440","192328","3700","209737","14891","717","20.75",""
"27","","Slots","7838578740","48857460","104928","453","32429","14874","92","160.44",""
"28","","ASMR","6969299040","89723160","53201","581","22254","13224","170","77.68",""
"29","","EA Sports FC 25","6786434340","150493620","484632","5895","292876","12877","285","45.09",""
"30","","PUBG: BATTLEGROUNDS","6720498180","337107300","181086","2712","275794","12752","639","19.94",""
"31","","Call of Duty: Black Ops 6","6406292940","373250100","483189","14903","431209","12156","708","17.16",""
"32","","Art","5283052260","322502400","46229","2090","199331","10025","611","16.38",""
"33","","I'm Only Sleeping","5167762620","111801720","200420","641","45097","9806","212","46.22",""
"34","","Rocket League","5070379920","401155620","382874","3277","914329","9621","761","12.64",""
"35","","Palworld","5035228560","246895500","434200","11031","353225","9554","468","20.39",""
"36","","World of Tanks","4950736440","81311820","184888","683","55722","9394","154","60.89",""
"37","","Destiny 2","4924708200","302632320","485292","13376","244574","9345","574","16.27",""
"38","","Path of Exile","4881167640","84144840","306066","3191","43958","9262","159","58.01",""
"39","","Path of Exile 2","4827051660","75402840","1230241","8938","70896","9159","143","64.02",""
"40","","Genshin Impact","4487503080","420889620","215097","6158","304346","8515","798","10.66",""
"41","","FINAL FANTASY XIV ONLINE","4268929800","255952620","136367","4304","104498","8100","485","16.68",""
"42","","Call of Duty: Modern Warfare III","4169590980","409066080","114558","4396","331662","7912","776","10.19",""
"43","","Marvel Rivals","4092755520","152016480","279261","11523","395847","7766","288","26.92",""
"44","","Casino","3990223380","14168160","98056","326","14633","7571","26","281.63",""
"45","","DayZ","3859330080","155112000","84065","1290","153187","7323","294","24.88",""
"46","","Retro","3727620960","137454660","55237","1178","48163","7073","260","27.12",""
"47","","Old School RuneScape","3467737560","79943820","87447","870","34737","6580","151","43.38",""
"48","","Albion Online","3422805600","63962040","35469","497","29054","6495","121","53.51",""
"49","","Black Desert","3313384080","85876740","83951","577","30534","6287","162","38.58",""
"50","","Diablo IV","3298268580","152174640","200181","2871","165208","6258","288","21.67",""
