"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","186057846660","2176264920","1183419","8310","2319716","354031","4141","85.49",""
"2","","Grand Theft Auto V","80078621460","1470086040","528554","5377","1480243","152373","2797","54.47",""
"3","","League of Legends","79363308780","1537277100","2597522","6356","938141","151012","2925","51.63",""
"4","","VALORANT","59292102840","2398618140","1196352","9350","1587006","112821","4564","24.72",""
"5","","Counter-Strike","41175237300","697160220","1117445","4016","864073","78348","1326","59.06",""
"6","","Fortnite","37038739680","3556934400","3291525","85481","4945424","70477","6768","10.41",""
"7","","Minecraft","34985404800","1168457700","1702513","4833","2074431","66570","2223","29.94",""
"8","","Dota 2","33050363640","502540620","1105363","2133","259924","62888","956","65.77",""
"9","","World of Warcraft","26225520240","667025280","579740","6405","246361","49902","1269","39.32",""
"10","","Apex Legends","24006475140","1785652140","463109","9226","1352623","45679","3397","13.44",""
"11","","Escape from Tarkov","19538971860","428520780","563955","4787","167313","37178","815","45.6",""
"12","","Call of Duty: Warzone","18024898140","965093880","292484","8063","888334","34297","1836","18.68",""
"13","","Teamfight Tactics","15442686060","184509000","139118","1324","199066","29384","351","83.7",""
"14","","Sports","15075773700","67724820","1424678","1510","91107","28686","128","222.6",""
"15","","Diablo IV","14920712820","396444840","954905","21450","359231","28391","754","37.64",""
"16","","Overwatch","14165847720","841589580","248662","4546","930091","26954","1601","16.83",""
"17","","Rust","12919019700","206830680","566990","1218","207406","24582","393","62.46",""
"18","","Dead by Daylight","12257205960","828122820","102418","3997","559201","23323","1575","14.8",""
"19","","FIFA 23","10853424060","386778900","486778","4722","819070","20651","735","28.06",""
"20","","Music","10550130960","593889420","147590","6679","252672","20074","1130","17.76",""
"21","","Special Events","10436304300","39918300","3462517","11347","68725","19858","75","261.44",""
"22","","Slots","10284934200","54011460","81744","218","32059","19570","102","190.42",""
"23","","Virtual Casino","8814870000","34202340","86753","227","16384","16772","65","257.73",""
"24","","Hearthstone","8762655780","72224820","58558","465","61364","16673","137","121.32",""
"25","","EA Sports FC 24","8408011140","187773240","384755","6283","356890","15998","357","44.78",""
"26","","Call of Duty: Modern Warfare II","8162663700","1668677760","350693","11884","1852430","15531","3175","4.89",""
"27","","Rainbow Six Siege","7805097600","601323660","216741","2879","1016027","14851","1144","12.98",""
"28","","Lost Ark","7611780000","144379020","325702","1058","45380","14483","274","52.72",""
"29","","Genshin Impact","7178633640","623603640","354726","7442","412403","13659","1186","11.51",""
"30","","Casino Jackpot","7075623480","17454540","100824","179","7564","13463","33","405.37",""
"31","","Street Fighter 6","6798773040","98166300","326275","2658","105033","12936","186","69.26",""
"32","","ASMR","6641739960","84036900","85961","433","30010","12637","159","79.03",""
"33","","Rocket League","6540644100","501032640","408512","2234","1156993","12445","953","13.05",""
"34","","PUBG: BATTLEGROUNDS","5954869140","315477240","187245","1198","249028","11330","600","18.88",""
"35","","Path of Exile","5889857280","104594340","441336","3507","53183","11207","199","56.31",""
"36","","World of Tanks","5760295740","95540280","75588","467","67932","10960","181","60.29",""
"37","","Art","5616273960","335063100","99665","1355","221557","10686","637","16.76",""
"38","","Hogwarts Legacy","5182034520","325811520","1249796","29306","531220","9860","619","15.91",""
"39","","Destiny 2","5022889740","393700980","517758","15527","328271","9557","749","12.76",""
"40","","ELDEN RING","4575496800","244795560","126207","1436","354123","8706","465","18.69",""
"41","","Old School RuneScape","4447957800","80141760","58090","708","38652","8463","152","55.5",""
"42","","Albion Online","4409717940","60982320","26648","332","31100","8390","116","72.31",""
"43","","Black Desert","4333686420","102522840","68499","430","47147","8246","195","42.27",""
"44","","Dark and Darker","4298504040","66260340","272197","2944","63474","8179","126","64.87",""
"45","","Baldur's Gate 3","4288448940","197017080","480983","5192","192386","8160","374","21.77",""
"46","","Chess","4192459200","40059000","168327","207","79735","7977","76","104.66",""
"47","","I'm Only Sleeping","4165936800","102177420","95745","530","47671","7926","194","40.77",""
"48","","IRL","4155587760","63147780","149573","275","37539","7907","120","65.81",""
"49","","Call of Duty: Modern Warfare III","4132358280","263628480","447866","16940","374055","7863","501","15.67",""
"50","","DayZ","4037100660","156915240","84959","648","163242","7681","298","25.73",""
